State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
New York,Tompkins,36,109,2024-01-01,25,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-02,28,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-03,22,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-04,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-05,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-06,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-07,24,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-08,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-09,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-10,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-11,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-12,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-13,30,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-14,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-15,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-16,32,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-17,34,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-18,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-19,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-20,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-21,34,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-22,35,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-23,31,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-24,25,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-25,22,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-26,16,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-27,19,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-28,26,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-29,29,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-30,28,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-01-31,25,Good,Ozone,36-109-9991,1
New York,Tompkins,36,109,2024-02-01,23,Good,Ozone,36-109-9991,1
