grid_latitude,grid_longitude,weathercode,temperature_2m_mean,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,shortwave_radiation_sum,Number of Sites Reporting,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_7,aqi_roll_mean_3,aqi_roll_mean_7,aqi_roll_std_7,aqi_diff_1,aqi_diff_7,month,weekday,season,month_sin,month_cos,weekday_sin,weekday_cos,temp_range,wind_dir_sin,wind_dir_cos,AQI
42.448944,-76.498665,3,1.5,3.7,-0.8,33289.52,14400.0,0.0,0.0,0.0,0.0,4.41,11.6,6.54,1.0,24.0,29.0,32.0,25.0,28.333333333333332,27.428571428571427,3.9096949095440023,-5.0,-1.0,1,0,4,0.49999999999999994,0.8660254037844387,0.0,1.0,4.5,-0.7313537016191703,0.6819983600624987,31.0
42.448944,-76.498665,71,3.1,8.8,0.6,33363.27,0.0,23.5,23.1,0.28,11.0,12.46,27.4,3.01,1.0,31.0,24.0,29.0,28.0,28.0,28.285714285714285,3.946064947695181,7.0,3.0,1,1,4,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,8.200000000000001,0.8290375725550417,-0.5591929034707467,32.0
42.448944,-76.498665,63,5.6,9.4,1.7,33440.31,10800.0,4.7,4.7,0.0,2.0,10.07,24.5,4.32,1.0,32.0,31.0,24.0,22.0,29.0,28.857142857142858,4.180453381654971,1.0,10.0,1,2,4,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,7.7,-0.12186934340514731,-0.9925461516413221,30.0
42.448944,-76.498665,3,3.0,4.6,1.4,33520.52,2056.54,0.0,0.0,0.0,0.0,4.2,12.1,4.6,1.0,30.0,32.0,31.0,32.0,31.0,30.0,2.886751345948129,-2.0,-2.0,1,3,4,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,3.1999999999999997,0.0871557427476582,-0.9961946980917455,29.0
42.448944,-76.498665,73,3.5,6.8,0.2,33603.82,25671.07,3.3,2.9,0.28,2.0,7.55,21.5,9.07,1.0,29.0,30.0,32.0,32.0,30.333333333333332,29.571428571428573,2.7602622373694174,-1.0,-3.0,1,4,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,6.6,0.838670567945424,-0.5446390350150272,29.0
42.448944,-76.498665,63,3.9,6.6,0.1,33690.42,0.0,15.5,15.5,0.0,8.0,7.43,22.3,2.46,1.0,29.0,29.0,30.0,29.0,29.333333333333332,29.142857142857142,2.544836041121408,0.0,0.0,1,5,4,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,6.5,-0.32556815445715676,-0.9455185755993167,30.0
42.448944,-76.498665,73,-2.6,0.4,-8.3,33781.23,14400.0,0.7,0.2,0.35,1.0,9.07,15.3,8.41,1.0,30.0,29.0,29.0,24.0,29.333333333333332,29.285714285714285,2.5634797778466236,1.0,6.0,1,6,4,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,8.700000000000001,-0.7071067811865475,-0.7071067811865477,29.0
42.448944,-76.498665,45,-7.7,-3.4,-11.0,33876.14,30111.53,0.0,0.0,0.0,0.0,3.13,9.2,10.02,1.0,29.0,30.0,29.0,31.0,29.333333333333332,30.0,1.1547005383792541,-1.0,-2.0,1,0,4,0.49999999999999994,0.8660254037844387,0.0,1.0,7.6,0.3255681544571566,-0.9455185755993168,31.0
42.448944,-76.498665,73,-6.9,-5.2,-8.9,33974.96,0.0,5.9,1.6,3.01,9.0,4.34,10.1,5.42,1.0,31.0,29.0,30.0,32.0,30.0,30.0,1.1547005383792541,2.0,-1.0,1,1,4,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,3.7,-0.7071067811865477,0.7071067811865474,32.0
42.448944,-76.498665,3,-9.3,-5.7,-11.8,34077.5,30173.36,0.0,0.0,0.0,0.0,4.86,9.7,10.41,1.0,32.0,31.0,29.0,30.0,30.666666666666668,30.0,1.1547005383792541,1.0,2.0,1,2,4,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,6.1000000000000005,-0.374606593415912,-0.9271838545667874,34.0
42.448944,-76.498665,3,-5.6,-2.8,-8.3,34183.55,0.0,0.0,0.0,0.0,0.0,3.49,8.6,5.5,1.0,34.0,32.0,31.0,29.0,32.333333333333336,30.571428571428573,1.902379462422686,2.0,5.0,1,3,4,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,5.500000000000001,-0.017452406437283637,-0.9998476951563913,31.0
42.448944,-76.498665,73,-6.1,-2.4,-10.1,34292.94,0.0,0.4,0.1,0.21,1.0,5.51,9.9,6.0,1.0,31.0,34.0,32.0,29.0,32.333333333333336,30.857142857142858,1.7728105208558396,-3.0,2.0,1,4,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,7.699999999999999,-0.2588190451025207,0.9659258262890683,31.0
42.448944,-76.498665,3,-10.6,-9.2,-14.3,34405.48,3600.0,0.0,0.0,0.0,0.0,6.5,14.7,6.35,1.0,31.0,31.0,34.0,30.0,32.0,31.142857142857142,1.5735915849388893,0.0,1.0,1,5,4,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,5.100000000000001,-0.898794046299167,0.4383711467890774,31.0
42.448944,-76.498665,3,-8.2,-4.8,-13.6,34520.98,18303.57,0.0,0.0,0.0,0.0,6.41,14.1,6.83,1.0,31.0,31.0,31.0,29.0,31.0,31.285714285714285,1.4960264830861945,0.0,2.0,1,6,4,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,8.8,-0.9510565162951536,0.30901699437494723,34.0
